date,rank_ic,ic,top_bottom_spread,top_return,signal_coverage
2020-01-02,0.7999999999999999,0.7636979095132976,0.00790065468135448,0.009529379822121653,0.0
2020-01-03,0.19999999999999998,0.9086274839242596,0.034453844093289554,0.035219493408765845,1.0
2020-01-06,0.6000000000000001,0.33265386300572275,0.002444766805400733,-0.0013087371759412658,0.75
2020-01-07,0.7999999999999999,0.9909546421788801,0.020012774324493776,0.023752171307235947,0.0
2020-01-08,0.39999999999999997,0.470838697673948,0.010100058596561934,0.009241467583764651,1.0
2020-01-09,1.0,0.9550897895081902,0.0032795200281314774,0.008087488822632993,0.75
2020-01-10,1.0,0.9586759469133437,0.005883073759426871,0.004858597321082403,0.5
2020-01-13,0.39999999999999997,0.9923237742707223,0.027701145467650123,0.030015114888974237,0.0
2020-01-14,0.7999999999999999,0.9760730145152221,0.03778251269637278,0.03842595655985814,0.0
2020-01-15,1.0,0.9678878686612395,0.018191712545778005,0.003327614522501854,0.5
2020-01-16,0.7999999999999999,0.9718667244895526,0.05490386176032047,0.002569055883951732,0.0
2020-01-17,0.19999999999999998,0.8886140683277584,0.014718349036350498,0.0009102867205812437,0.5
2020-01-21,1.0,0.9991357267345001,0.04351923425851001,0.041850713923977545,0.25
2020-01-22,1.0,0.9405002652983608,0.04007422269823868,0.04228329704167866,0.25
2020-01-23,0.6000000000000001,0.5313830957285598,0.0017875980610688735,0.004622867319090673,0.5
2020-01-24,-0.39999999999999997,0.2881328137872381,-0.002280760752595201,0.0010246449797721713,0.5
2020-01-27,0.39999999999999997,-0.17616657531525085,0.0023480894370918604,-0.006111056106222534,0.5
2020-01-28,-0.19999999999999998,-0.2242671337481092,-0.00694862982943123,0.0069919401746028065,0.25
2020-01-29,0.39999999999999997,0.3662737081425233,0.010017749495418116,0.010947365057763614,0.5
2020-01-30,0.7999999999999999,0.9838127459442064,0.10023734256454009,0.09544066550912633,0.0
2020-01-31,0.7999999999999999,0.534109958702987,0.007813678885745357,0.0008111278501199415,0.0
2020-02-03,0.7999999999999999,0.9155845584073129,0.052371170080050655,0.03050277823424441,0.75
2020-02-04,0.7999999999999999,0.98359296330806,0.15095983380207967,0.11981308725813,0.0
2020-02-05,0.39999999999999997,0.9941811340231466,0.08656932565178177,0.004891297596751443,0.0
2020-02-06,0.7999999999999999,0.9323823729246713,0.05143992762798,0.0009463080401337365,0.0
2020-02-07,0.7999999999999999,0.7609392810420448,0.018767608226106347,-0.002339865134196595,0.5
2020-02-10,0.19999999999999998,-0.025052630448576117,0.016593778287564365,0.00123415417434114,0.75
2020-02-11,-0.39999999999999997,-0.456343080893741,-0.0072781651188278396,-0.001366485348654356,0.0
2020-02-12,0.6000000000000001,0.5926863323617237,0.0013127498672900195,0.0011367792141545596,0.75
2020-02-13,-0.7999999999999999,-0.9934868064140873,-0.027485888027487082,-0.028545283577219638,0.25
2020-02-14,1.0,0.7864637913239854,0.02162385890098406,-0.0005818448498624562,0.5
2020-02-18,1.0,0.9459075900188051,0.08147283526889071,0.055189183161373556,0.5
2020-02-19,1.0,0.99270534983801,0.07270397778273341,0.07269085870600822,0.25
2020-02-20,0.19999999999999998,0.5884373951551555,0.002119420854995502,-0.0020695588221271155,0.0
2020-02-21,0.39999999999999997,0.8450895706826537,0.01519461392533672,0.012808982657955714,0.0
2020-02-24,0.7999999999999999,0.7454465405426823,0.028090028267377054,-0.009716024459986206,0.25
2020-02-25,0.19999999999999998,0.1445395977911377,0.0011271678736721746,0.014654857164259516,0.5
2020-02-26,0.39999999999999997,0.8452572820632415,0.016384484117707543,-0.010274054990721426,0.25
2020-02-27,1.0,0.940935964485359,0.040128527291954263,-0.0031418429130147807,0.5
2020-02-28,0.7999999999999999,0.9724562282596235,0.036129416561548666,-0.006864922185948696,0.0
2020-03-02,1.0,0.9221678159726253,0.05571160726102575,0.05819442156072352,0.0
2020-03-03,0.7999999999999999,0.8833302608693538,0.07669683343547185,0.08121564950045568,0.5
2020-03-04,-0.19999999999999998,-0.08415704357426324,-0.00013873743119430237,0.005025062072087083,0.25
2020-03-05,0.39999999999999997,0.16047170953017686,0.002244162556842122,0.0013380518390667673,0.5
2020-03-06,0.39999999999999997,0.14462112930826465,0.013589377453920526,-0.0033013073211511923,0.0
2020-03-09,0.7999999999999999,0.9853864342856171,0.06937500801647667,0.004437054416195241,1.0
2020-03-10,0.19999999999999998,0.07567865787337477,0.009465355665759123,0.0032534164410435995,0.0
2020-03-11,0.19999999999999998,0.7188819031213972,0.013145786761883493,0.018817124676958397,0.0
2020-03-12,0.39999999999999997,0.49117709949215,0.011197558554587816,-0.005985088443830944,0.0
2020-03-13,0.0,0.11746815225094519,-0.000764316898496098,0.0003168160050042168,0.0
2020-03-16,0.39999999999999997,0.5644099372975084,0.01150290200798243,-0.025096921717625897,0.5
2020-03-17,0.7999999999999999,0.9924327759501732,0.04518972972994273,0.012182249842707105,0.0
2020-03-18,0.7999999999999999,0.9991653137556648,0.04378658283288739,0.013483916032279941,0.0
2020-03-19,0.7999999999999999,0.8909153179096189,0.03439908195869368,0.04044296640369205,1.0
2020-03-20,0.7999999999999999,0.8579332765171797,0.014888987026381972,0.0162948476167184,0.0
2020-03-23,0.7999999999999999,0.9047752003727928,0.01925805664801561,0.016863928424248886,0.5
2020-03-24,0.7999999999999999,0.9307044362842471,0.051744987412881915,0.04758865587426886,0.75
2020-03-25,1.0,0.9959992204599868,0.08450814494612524,0.07262905625319394,0.0
2020-03-26,-0.7999999999999999,-0.6847440286163026,-0.005021578738391597,-0.0009886009289181708,0.5
2020-03-27,-0.39999999999999997,-0.8496616566485399,-0.013366717464737943,-0.013490405542922468,0.0
2020-03-30,0.7999999999999999,0.909297101080376,0.026274414818169056,0.009306392927018958,0.0
2020-03-31,0.19999999999999998,0.23412592138068616,0.003427544144907535,0.0024133354448442335,0.25
2020-04-01,0.7999999999999999,0.9635327571111735,0.008303027337713265,0.00803997994801764,0.0
2020-04-02,-0.39999999999999997,-0.819418963001825,-0.00054300774348226,0.0022564788946852765,0.25
2020-04-03,0.7999999999999999,0.9899401175027129,0.12316306098239072,0.12533503177802507,0.0
2020-04-06,-0.7999999999999999,-0.8406220368416686,-0.025667164891248317,0.0004291980597204148,0.0
2020-04-07,0.39999999999999997,0.9669505741944351,0.023973564949465453,0.020408780254387526,0.0
2020-04-08,-0.39999999999999997,-0.23397663022420734,-0.003283033531738866,0.002084773130556661,0.0
2020-04-09,1.0,0.9945161643546372,0.016693224840953702,0.011187134063764148,0.0
2020-04-13,1.0,0.9970107926107945,0.03473144889563029,0.03375786928448443,0.25
2020-04-14,0.7999999999999999,0.9928614579248146,0.049347589173494466,0.0544699137781397,0.0
2020-04-15,0.39999999999999997,0.9961027715225816,0.05962499719815373,0.06714998475179124,0.25
2020-04-16,0.39999999999999997,0.18461567524103875,0.0062533365846311195,0.009075316390847243,0.0
