date,rank_ic,ic,top_bottom_spread,top_return,signal_coverage
2020-01-02,-0.19999999999999998,0.38822711753589195,-0.00011398882862101445,0.0015147363121461588,0.0
2020-01-03,-0.39999999999999997,0.3706820716313198,-0.004455121842014909,-0.0036894725265386175,1.0
2020-01-06,0.7999999999999999,0.5293209940308109,0.004974191604284917,-0.0013087371759412658,0.75
2020-01-07,0.39999999999999997,0.9953355771759578,0.020012774324493776,0.023752171307235947,0.0
2020-01-08,0.0,0.07015920717528529,-0.008774937626933377,-0.0008585910127972829,1.0
2020-01-09,1.0,0.9103677585766173,0.0032795200281314774,0.008087488822632993,0.75
2020-01-10,0.7999999999999999,0.7510491019617371,0.005883073759426871,0.004858597321082403,0.5
2020-01-13,0.39999999999999997,0.9951802134298044,0.027701145467650123,0.030015114888974237,0.0
2020-01-14,0.7999999999999999,0.9978566024875588,0.03698315980006961,0.03842595655985814,0.0
2020-01-15,0.39999999999999997,0.7764163098630762,0.016868080145694186,0.0020039821224180354,0.5
2020-01-16,0.7999999999999999,0.9197827248200494,0.05490386176032047,0.002569055883951732,0.0
2020-01-17,0.7999999999999999,0.8039739974207897,0.019987929823800155,0.006179867508030901,0.5
2020-01-21,1.0,0.9985907857022385,0.04351923425851001,0.041850713923977545,0.25
2020-01-22,1.0,0.8996618560272003,0.04007422269823868,0.04228329704167866,0.25
2020-01-23,0.39999999999999997,0.3739431136454624,0.00047710562779634813,0.005099972946887021,0.5
2020-01-24,-0.39999999999999997,-0.09294047940678206,-0.002280760752595201,0.0010246449797721713,0.5
2020-01-27,0.6000000000000001,0.4344611191899301,0.002298786504393524,-0.006160359038920871,0.5
2020-01-28,0.19999999999999998,-0.3027202352989255,0.002251798909776559,0.004421034261799406,0.25
2020-01-29,-0.19999999999999998,-0.013746843603843513,-0.00577319229399853,0.010947365057763614,0.5
2020-01-30,0.7999999999999999,0.9807087711257596,0.10023734256454009,0.09544066550912633,0.0
2020-01-31,0.7999999999999999,0.6225191750201987,0.007813678885745357,0.0008111278501199415,0.0
2020-02-03,0.7999999999999999,0.8535662629139751,0.052371170080050655,0.03050277823424441,0.75
2020-02-04,1.0,0.9945783666756498,0.15095983380207967,0.11981308725813,0.0
2020-02-05,0.7999999999999999,0.9907330853156497,0.08656932565178177,0.004891297596751443,0.0
