feature,train_mean_2019,test_mean_2020,psi_2019_2020
sentiment_mean,0.04209455523649677,0.061932901949848795,0.02521167669047514
article_count,0.5634191176470589,0.5737547892720306,0.010137564370365785
return_1d,0.0014020325130986232,0.004031413701281602,0.2181815545963955
volatility_20d,0.019104805989278145,0.030553068049117074,0.5337904235812619
