auc,balanced_accuracy,brier,n,up_share,train_rows,test_rows,model,feature_set,scheme
0.5170536685693846,0.5059876000417307,0.2623185675552622,1044,0.5613026819923371,1088.0,1044.0,logistic,price,static
0.5014988580129425,0.5042348686714884,0.262499111905393,1012,0.5612648221343873,,,logistic,price,rolling
0.5296995394727038,0.5107419109647227,0.258566275037965,1044,0.5613026819923371,1088.0,1044.0,logistic,price_news,static
0.5190727699530516,0.5179307828955716,0.2637447621605229,1012,0.5612648221343873,,,logistic,price_news,rolling
0.5072954081404534,0.5023808814104952,0.2580389976501465,1044,0.5613026819923371,1088.0,1044.0,xgboost,price,static
0.5082258755234107,0.5069470879330034,0.275165855884552,1012,0.5612648221343873,,,xgboost,price,rolling
0.5240845343308941,0.5045009463910458,0.2563755512237549,1044,0.5613026819923371,1088.0,1044.0,xgboost,price_news,static
0.5142193249587615,0.5088503996954701,0.2737901210784912,1012,0.5612648221343873,,,xgboost,price_news,rolling
