date,target,forward_return,sentiment_mean,probability,threshold,test_year,model,feature_set,position,turnover,strategy_return,market_return,strategy_curve,market_curve
2014-01-29,1,0.006977684607766488,-0.199248,0.38997089862823486,0.35,2014,xgboost,price_news,0.0,0.0,0.0,0.006977684607766488,1.0,1.0069776846077665
2014-01-30,0,-0.009449455799201978,-0.34186000000000005,0.5807210803031921,0.35,2014,xgboost,price_news,1.0,1.0,-0.010449455799201979,-0.009449455799201978,0.989550544200798,0.9974622934862827
2014-01-31,0,-0.020769025254759987,-0.25086800000000004,0.687752902507782,0.35,2014,xgboost,price_news,1.0,0.0,-0.020769025254759987,-0.020769025254759987,0.9689985439574301,0.9767459739221953
2014-02-03,1,0.004712246950385746,-0.29625199999999996,0.5979211926460266,0.35,2014,xgboost,price_news,1.0,0.0,0.004712246950385746,0.004712246950385746,0.9735647043911217,0.9813486421591118
2014-02-04,0,-0.00032435656060381124,-0.130032,0.5494281053543091,0.35,2014,xgboost,price_news,0.0,1.0,-0.001,-0.00032435656060381124,0.9725911396867306,0.9810303352887878
2014-02-05,1,0.012195401122933935,-0.262412,0.44414567947387695,0.35,2014,xgboost,price_news,0.0,0.0,0.0,0.012195401122933935,0.9725911396867306,0.992994393741401
2014-02-06,1,0.010592794210854573,-0.07840799999999999,0.5001758337020874,0.35,2014,xgboost,price_news,0.0,0.0,0.0,0.010592794210854573,0.9725911396867306,1.003512979006836
2014-02-07,1,0.00048815511646904675,-0.06527200000000001,0.6445299386978149,0.35,2014,xgboost,price_news,1.0,1.0,-0.0005118448835309533,0.00048815511646904675,0.9720933238881144,1.0040028490019812
2014-02-10,1,0.01221250829961118,-0.11324800000000002,0.523906409740448,0.35,2014,xgboost,price_news,0.0,1.0,-0.001,0.01221250829961118,0.9711212305642263,1.0162642421282513
2014-02-11,0,-0.0019274489038587639,-0.197612,0.3845840096473694,0.35,2014,xgboost,price_news,0.0,0.0,-0.0,-0.0019274489038587639,0.9711212305642263,1.0143054447287303
2014-02-12,1,0.003987074136181823,-0.101256,0.6810137033462524,0.35,2014,xgboost,price_news,1.0,1.0,0.002987074136181823,0.003987074136181823,0.9740220416751418,1.0183495557335966
2014-02-13,1,0.007911345700393424,-0.18343200000000004,0.4082685708999634,0.35,2014,xgboost,price_news,0.0,1.0,-0.001,0.007911345700393424,0.9730480196334667,1.026406071112847
2014-02-14,0,-0.0014849992802402623,-0.030755999999999988,0.5025519728660583,0.35,2014,xgboost,price_news,0.0,0.0,-0.0,-0.0014849992802402623,0.9730480196334667,1.0248818588360102
2014-02-18,0,-0.00556965845994295,-0.341264,0.584443211555481,0.35,2014,xgboost,price_news,1.0,1.0,-0.00656965845994295,-0.00556965845994295,0.9666554264793509,1.0191736169205021
2014-02-19,1,0.005777285922949904,-0.25514,0.5274688601493835,0.35,2014,xgboost,price_news,0.0,1.0,-0.001,0.005777285922949904,0.9656887710528715,1.025061674310579
2014-02-20,0,-0.0018552182749457247,-0.22173600000000002,0.5494217872619629,0.35,2014,xgboost,price_news,0.0,0.0,-0.0,-0.0018552182749457247,0.9656887710528715,1.0231599611594515
2014-02-21,1,0.0064483580544005825,-0.276004,0.6441954970359802,0.35,2014,xgboost,price_news,1.0,1.0,0.0054483580544005825,0.0064483580544005825,0.9709501892466817,1.0297576629359342
2014-02-24,0,-0.0016955176913893144,-0.14934000000000003,0.4272138476371765,0.35,2014,xgboost,price_news,0.0,1.0,-0.001,-0.0016955176913893144,0.9699792390574351,1.0280116906005825
2014-02-25,1,0.0011588624123879399,-0.22726,0.29532116651535034,0.35,2014,xgboost,price_news,0.0,0.0,0.0,0.0011588624123879399,0.9699792390574351,1.0292030147083149
2014-02-26,1,0.004583180342084381,-0.188496,0.3706592619419098,0.35,2014,xgboost,price_news,0.0,0.0,0.0,0.004583180342084381,0.9699792390574351,1.03392003773334
2014-02-27,1,0.0030148481544920447,-0.061091999999999994,0.45744699239730835,0.35,2014,xgboost,price_news,0.0,0.0,0.0,0.0030148481544920447,0.9699792390574351,1.0370371496509927
