model,feature_set,roc_auc_mean,roc_auc_std,pr_auc_mean,f1_mean,balanced_accuracy_mean,brier_mean
logistic,price,0.492712515516482,0.02121152646664076,0.5332500445266369,0.6993735245959654,0.5,0.2509514683294622
logistic,price_news,0.488791747923047,0.02008284206103383,0.5505612141867867,0.691773624706694,0.49795690784721897,0.25240125730617263
random_forest,price,0.47100263766419,0.04074900684108414,0.5611949328226098,0.698788407832509,0.5029826749380429,0.25289789351857866
random_forest,price_news,0.48516298328193436,0.016081368707763284,0.540221396830774,0.6941960008555673,0.49444444444444446,0.2514775645433327
xgboost,price,0.4723618241152929,0.046418760102723604,0.5507684813065276,0.6800311004883106,0.48949829241958015,0.26287002364794415
xgboost,price_news,0.5044314752553062,0.037366157263542095,0.5554161251243587,0.695223399881442,0.5008021033340465,0.256464550892512
