roc_auc,pr_auc,f1,balanced_accuracy,precision,recall,brier,threshold,test_year,model,feature_set,n_train,n_validation,n_test
0.507686567164179,0.5596302377483815,0.7282608695652174,0.5,0.5726495726495726,1.0,0.24794263509104858,0.35,2014,logistic,price,1087,234,234
0.5112686567164179,0.5915023423767383,0.726775956284153,0.5012686567164178,0.5732758620689655,0.9925373134328358,0.24813142719586845,0.39999999999999997,2014,random_forest,price,1087,234,234
0.5183582089552239,0.5849550516376386,0.7348066298342542,0.5212686567164179,0.5833333333333334,0.9925373134328358,0.2510039210319519,0.35,2014,xgboost,price,1087,234,234
0.500223880597015,0.5752236380512883,0.7134831460674157,0.4988805970149254,0.5720720720720721,0.9477611940298507,0.25110903630460035,0.425,2014,logistic,price_news,1087,234,234
0.5036567164179104,0.5989744633303964,0.7282608695652174,0.5,0.5726495726495726,1.0,0.24874044086947664,0.425,2014,random_forest,price_news,1087,234,234
0.5185820895522388,0.5882576688337503,0.7178082191780822,0.48880597014925375,0.5670995670995671,0.9776119402985075,0.2531483769416809,0.35,2014,xgboost,price_news,1087,234,234
0.5020112630732101,0.48228971660217734,0.6512968299711815,0.5,0.4829059829059829,1.0,0.2524413105025382,0.39999999999999997,2015,logistic,price,1339,234,234
0.471952022233599,0.4962690937697011,0.6510263929618768,0.5076793680977107,0.4868421052631579,0.9823008849557522,0.25320837482525915,0.39999999999999997,2015,random_forest,price,1339,234,234
0.47319534849703787,0.49143314041224456,0.6470588235294118,0.5032545893366489,0.4845814977973568,0.9734513274336283,0.26643145084381104,0.35,2015,xgboost,price,1339,234,234
0.5005485262926936,0.5076340728175144,0.6432748538011696,0.49499012652673147,0.48034934497816595,0.9734513274336283,0.25247962217212616,0.39999999999999997,2015,logistic,price_news,1339,234,234
0.4773641483215096,0.4784724740102297,0.6512968299711815,0.5,0.4829059829059829,1.0,0.25227205694499033,0.35,2015,random_forest,price_news,1339,234,234
0.5326555986250274,0.5442956638249536,0.6449704142011834,0.5029620419805456,0.48444444444444446,0.9646017699115044,0.2545413672924042,0.35,2015,xgboost,price_news,1339,234,234
0.4684397163120567,0.5578301792293522,0.718562874251497,0.5,0.5607476635514018,1.0,0.25247045939479984,0.35,2016,logistic,price,1591,234,107
0.42978723404255315,0.5958133623213899,0.718562874251497,0.5,0.5607476635514018,1.0,0.2573538785346083,0.35,2016,random_forest,price,1591,234,107
0.42553191489361697,0.5759172518696997,0.6582278481012658,0.4439716312056738,0.5306122448979592,0.8666666666666667,0.27117469906806946,0.375,2016,xgboost,price,1591,234,107
0.4656028368794326,0.5688259316915574,0.718562874251497,0.5,0.5607476635514018,1.0,0.2536151134417913,0.35,2016,logistic,price_news,1591,234,107
0.474468085106383,0.5432172531516958,0.703030303030303,0.48333333333333334,0.5523809523809524,0.9666666666666667,0.25342019581553116,0.43,2016,random_forest,price_news,1591,234,107
0.4620567375886525,0.5336950427143723,0.7228915662650602,0.5106382978723404,0.5660377358490566,1.0,0.2617039084434509,0.355,2016,xgboost,price_news,1591,234,107
